Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Cover_Type,Wilderness_Area,Soil_Type
3364,89,16,541,207,1362,243,212,95,997,Krummholz,Rawah,_0
3308,348,10,600,126,2696,201,223,161,2221,Krummholz,Rawah,_40
3358,297,3,300,19,990,210,238,166,2135,Krummholz,Rawah,_34
3386,359,14,815,47,1301,199,214,152,1660,Krummholz,Rawah,_40
3326,75,34,90,73,4052,238,157,22,4097,Krummholz,Comanche Peak,_0
3282,164,12,309,58,3316,231,243,141,1986,Krummholz,Comanche Peak,_31
3362,62,13,30,-2,1622,230,213,113,1786,Krummholz,Cache la Poudre,_40
3350,95,35,175,56,2132,250,166,0,785,Krummholz,Rawah,_0
3304,13,17,309,130,4050,202,204,136,3698,Krummholz,Rawah,_1
3364,120,13,30,6,4402,241,229,115,4134,Krummholz,Rawah,_25
3344,298,6,511,33,872,204,238,173,1570,Krummholz,Rawah,_34
3377,110,13,95,7,2527,242,225,109,1213,Krummholz,Rawah,_0
3355,99,25,175,-7,4137,251,197,59,3667,Krummholz,Rawah,_35
3267,208,18,30,7,2483,204,254,179,543,Krummholz,Rawah,_0
3230,4,24,60,30,3097,181,186,136,212,Krummholz,Rawah,_24
3286,214,11,582,59,4295,210,250,176,2007,Krummholz,Comanche Peak,_25
3842,341,9,872,393,4865,202,228,164,2918,Krummholz,Rawah,_1
3852,42,15,807,76,4353,221,206,116,2411,Krummholz,Rawah,_1
3338,0,3,671,43,883,215,234,156,1332,Krummholz,Rawah,_34
3420,122,9,516,-72,967,236,233,127,618,Krummholz,Cache la Poudre,_40
3281,73,14,511,94,648,236,212,104,1082,Krummholz,Rawah,_0
3340,343,6,0,0,1482,207,230,162,1684,Krummholz,Cache la Poudre,_40
3356,134,15,703,150,577,243,231,113,120,Krummholz,Cache la Poudre,_40
3392,93,9,256,43,2714,235,226,121,1570,Krummholz,Rawah,_40
3361,1,18,457,172,4149,192,204,147,3755,Krummholz,Rawah,_1
3529,16,14,532,150,1441,208,211,138,1945,Krummholz,Cache la Poudre,_1
3371,45,7,30,2,4577,222,225,138,4508,Krummholz,Rawah,_1
3277,68,13,0,0,3406,233,213,109,2898,Krummholz,Rawah,_0
3400,92,13,626,243,1519,240,220,109,949,Krummholz,Rawah,_1
3464,286,20,339,161,1302,159,235,214,1712,Krummholz,Cache la Poudre,_0
3440,214,11,752,240,2190,210,250,175,992,Krummholz,Rawah,_40
3324,280,9,42,2,3690,194,241,187,1831,Krummholz,Rawah,_40
3397,352,13,564,58,1440,196,217,158,1397,Krummholz,Rawah,_40
3346,54,11,0,0,1539,226,216,122,1719,Krummholz,Cache la Poudre,_40
3444,176,13,541,119,4149,226,247,150,3065,Krummholz,Rawah,_1
3522,322,18,277,28,1672,172,219,186,2106,Krummholz,Cache la Poudre,_1
3417,132,7,706,178,2975,232,236,136,2162,Krummholz,Rawah,_0
2975,250,13,551,72,5787,191,249,196,3600,Lodgepole Pine,Comanche Peak,_31
3064,157,7,595,-28,5923,228,241,146,2997,Lodgepole Pine,Comanche Peak,_31
2779,127,20,95,-9,2856,248,223,94,1565,Lodgepole Pine,Rawah,_15
3114,225,17,324,63,3109,195,254,191,495,Lodgepole Pine,Rawah,_34
2998,110,18,300,3,4302,248,218,92,2382,Lodgepole Pine,Comanche Peak,_31
2647,4,17,362,-9,1142,195,205,145,1550,Lodgepole Pine,Comanche Peak,_32
2775,133,17,42,11,3121,245,230,108,4976,Lodgepole Pine,Comanche Peak,_31
3003,203,23,180,0,2163,202,253,176,1888,Lodgepole Pine,Rawah,_25
2684,298,14,60,15,466,180,234,194,421,Lodgepole Pine,Comanche Peak,_31
2911,78,25,577,144,655,243,185,57,1530,Lodgepole Pine,Comanche Peak,_32
3007,347,13,660,86,1570,196,219,162,589,Lodgepole Pine,Rawah,_33
3047,37,9,446,63,1425,220,219,134,2402,Lodgepole Pine,Comanche Peak,_31
3251,21,11,977,-39,1477,213,217,140,2868,Lodgepole Pine,Cache la Poudre,_25
2820,28,14,150,22,1860,214,209,128,1620,Lodgepole Pine,Comanche Peak,_25
2507,303,8,190,48,247,198,236,178,330,Lodgepole Pine,Neota,_8
3008,222,7,300,10,1924,211,247,173,810,Lodgepole Pine,Rawah,_33
2962,102,10,42,5,789,238,226,119,2482,Lodgepole Pine,Comanche Peak,_31
2968,118,19,162,49,5712,249,219,90,3956,Lodgepole Pine,Comanche Peak,_32
3008,43,8,170,17,5987,222,223,136,3500,Lodgepole Pine,Comanche Peak,_31
2834,23,29,499,151,1061,190,166,98,2233,Lodgepole Pine,Rawah,_35
2897,321,27,690,273,626,142,203,195,511,Lodgepole Pine,Rawah,_34
3250,264,18,577,136,6000,173,246,210,2910,Lodgepole Pine,Comanche Peak,_32
2728,21,9,30,1,511,214,221,142,2413,Lodgepole Pine,Rawah,_19
3187,351,5,331,-26,3086,212,232,158,1214,Lodgepole Pine,Comanche Peak,_31
3155,293,6,182,24,3159,203,239,175,807,Lodgepole Pine,Comanche Peak,_31
2873,80,8,210,23,3074,231,225,127,2611,Lodgepole Pine,Comanche Peak,_31
2945,287,28,190,54,5464,133,226,227,858,Lodgepole Pine,Comanche Peak,_31
2611,328,16,85,16,1507,179,219,179,1188,Lodgepole Pine,Comanche Peak,_31
2870,7,17,268,17,755,197,204,141,60,Lodgepole Pine,Rawah,_35
3305,325,23,190,31,2305,157,208,188,2197,Lodgepole Pine,Cache la Poudre,_35
3230,68,9,693,61,1485,229,223,126,2460,Lodgepole Pine,Cache la Poudre,_35
3200,140,20,664,264,1566,245,230,105,2758,Lodgepole Pine,Rawah,_35
3088,149,25,210,-2,3522,243,229,98,924,Lodgepole Pine,Rawah,_35
2603,48,17,67,7,911,224,201,105,6195,Lodgepole Pine,Comanche Peak,_31
2932,233,10,90,16,5204,204,249,182,3562,Lodgepole Pine,Comanche Peak,_31
3029,86,11,339,91,5359,236,222,117,630,Lodgepole Pine,Comanche Peak,_32
3036,345,7,42,3,4110,206,229,161,2379,Lodgepole Pine,Comanche Peak,_25
2753,46,19,85,23,1245,222,195,100,1574,Lodgepole Pine,Rawah,_26
2915,69,28,210,115,819,236,173,50,664,Lodgepole Pine,Comanche Peak,_31
2788,125,14,127,30,3810,242,230,113,5494,Lodgepole Pine,Comanche Peak,_32
3037,239,17,306,32,5860,186,252,201,1839,Lodgepole Pine,Comanche Peak,_31
2758,37,5,150,27,2929,220,229,145,5023,Lodgepole Pine,Comanche Peak,_14
3107,6,9,67,-2,1148,210,223,151,2162,Lodgepole Pine,Comanche Peak,_24
2893,326,19,108,34,5563,168,215,184,799,Lodgepole Pine,Comanche Peak,_31
2978,27,8,845,180,2845,217,222,141,685,Lodgepole Pine,Rawah,_34
2581,344,28,60,16,1634,152,184,163,1283,Lodgepole Pine,Rawah,_12
2942,314,27,457,195,3653,139,207,203,1120,Lodgepole Pine,Comanche Peak,_31
2958,330,13,240,59,3348,188,224,175,2066,Lodgepole Pine,Comanche Peak,_31
3013,171,15,150,12,1448,229,246,144,433,Lodgepole Pine,Rawah,_15
2820,24,17,150,29,3331,208,200,124,5725,Lodgepole Pine,Comanche Peak,_32
2779,320,24,134,44,1216,151,210,195,2461,Lodgepole Pine,Rawah,_35
3170,81,20,641,65,888,243,199,77,1892,Lodgepole Pine,Comanche Peak,_31
2708,218,9,480,-27,547,211,249,174,735,Lodgepole Pine,Rawah,_36
2969,24,15,60,9,1022,211,207,129,30,Lodgepole Pine,Rawah,_34
3019,28,5,242,39,4318,218,230,148,792,Lodgepole Pine,Comanche Peak,_31
2932,125,11,120,-3,3785,239,232,122,6187,Lodgepole Pine,Comanche Peak,_31
2663,145,25,60,-3,3005,245,227,94,6301,Lodgepole Pine,Comanche Peak,_32
2906,352,10,162,23,3449,203,223,158,4832,Lodgepole Pine,Comanche Peak,_31
2944,338,18,350,12,1952,178,211,171,2947,Lodgepole Pine,Rawah,_34
2946,91,20,540,150,1065,246,204,78,916,Lodgepole Pine,Comanche Peak,_31
2963,106,6,607,-4,4152,231,232,135,4607,Lodgepole Pine,Comanche Peak,_14
2867,34,17,319,72,3257,215,201,117,853,Lodgepole Pine,Rawah,_34
2883,37,14,153,23,4011,219,207,121,6300,Lodgepole Pine,Comanche Peak,_31
2967,50,12,42,1,3703,225,214,121,1666,Lodgepole Pine,Comanche Peak,_31
2863,79,17,395,52,1624,240,206,90,2890,Lodgepole Pine,Rawah,_25
3054,185,13,799,20,6129,222,249,158,3163,Lodgepole Pine,Comanche Peak,_31
2771,18,12,30,-1,2329,211,215,139,2924,Lodgepole Pine,Comanche Peak,_25
3095,37,10,319,24,2611,220,219,133,2863,Lodgepole Pine,Rawah,_34
2887,321,12,256,19,1072,189,228,179,616,Lodgepole Pine,Rawah,_25
3204,321,3,277,8,6156,211,236,164,1337,Lodgepole Pine,Comanche Peak,_21
3120,26,23,285,13,1620,202,184,109,1677,Lodgepole Pine,Rawah,_33
2777,353,6,390,25,2154,210,230,158,1480,Lodgepole Pine,Comanche Peak,_31
2513,45,9,60,1,390,223,220,132,499,Lodgepole Pine,Comanche Peak,_14
2998,34,5,540,72,5272,219,228,145,6325,Lodgepole Pine,Comanche Peak,_31
2895,216,20,90,40,1061,195,254,189,418,Lodgepole Pine,Rawah,_35
2722,45,4,484,6,1471,221,230,145,1758,Lodgepole Pine,Comanche Peak,_14
3346,309,13,752,208,3982,183,231,188,2322,Lodgepole Pine,Rawah,_35
2954,98,3,0,0,977,225,234,145,108,Lodgepole Pine,Rawah,_34
2577,122,17,30,8,1235,247,224,99,785,Lodgepole Pine,Rawah,_15
2389,330,26,67,25,624,150,199,183,1442,Lodgepole Pine,Neota,_12
2725,155,15,60,-8,1530,236,240,130,1353,Lodgepole Pine,Rawah,_12
2975,248,17,300,59,5322,182,250,204,1691,Lodgepole Pine,Comanche Peak,_31
2945,322,6,285,0,4532,205,234,168,5867,Lodgepole Pine,Comanche Peak,_14
3164,176,13,240,22,3306,226,247,150,702,Lodgepole Pine,Rawah,_24
3211,150,18,60,13,1641,241,236,118,1544,Lodgepole Pine,Comanche Peak,_31
2604,69,12,558,22,1235,233,215,113,4013,Lodgepole Pine,Comanche Peak,_31
2652,21,6,212,3,457,216,227,148,1320,Lodgepole Pine,Comanche Peak,_14
2858,91,18,95,58,108,245,208,86,459,Lodgepole Pine,Comanche Peak,_32
2884,78,13,418,86,3042,237,215,106,376,Lodgepole Pine,Rawah,_35
2724,160,19,60,4,1350,236,240,127,2514,Lodgepole Pine,Rawah,_19
3038,56,23,216,90,268,228,185,79,1455,Lodgepole Pine,Rawah,_26
2432,14,7,0,0,242,213,225,149,153,Lodgepole Pine,Neota,_12
3077,38,11,1290,279,3075,220,216,130,1168,Lodgepole Pine,Rawah,_34
2939,41,5,313,59,3181,221,229,144,1825,Lodgepole Pine,Comanche Peak,_31
2811,235,35,234,156,1673,138,244,225,1478,Lodgepole Pine,Rawah,_6
2806,177,16,210,51,1189,226,247,149,1725,Lodgepole Pine,Rawah,_6
2845,23,19,582,286,1205,205,196,122,977,Lodgepole Pine,Rawah,_35
2991,244,8,466,82,6177,204,247,181,5252,Lodgepole Pine,Comanche Peak,_31
2605,114,8,258,36,1410,235,232,129,1463,Lodgepole Pine,Rawah,_13
2951,25,9,216,11,1376,216,221,141,371,Lodgepole Pine,Rawah,_34
3054,59,6,424,0,2676,224,228,139,2706,Lodgepole Pine,Rawah,_33
3024,32,9,360,42,3059,218,221,139,5959,Lodgepole Pine,Comanche Peak,_31
2956,51,10,534,54,1084,225,219,127,800,Lodgepole Pine,Rawah,_33
3166,96,13,268,87,1260,241,220,107,1710,Lodgepole Pine,Rawah,_15
3387,295,22,939,257,4065,152,228,213,2465,Lodgepole Pine,Rawah,_33
3144,285,8,323,13,3345,198,240,182,819,Lodgepole Pine,Comanche Peak,_31
2692,282,18,108,23,1671,169,238,208,1215,Lodgepole Pine,Rawah,_15
2847,304,25,201,56,1412,142,217,212,2610,Lodgepole Pine,Rawah,_35
2968,323,22,162,81,1892,159,211,189,2799,Lodgepole Pine,Rawah,_35
2912,83,15,0,0,4997,239,213,101,335,Lodgepole Pine,Comanche Peak,_32
2937,233,12,691,137,2490,199,251,188,1627,Lodgepole Pine,Rawah,_35
2716,268,11,60,10,1761,191,245,193,808,Lodgepole Pine,Rawah,_35
2755,43,12,108,11,2594,222,213,124,4412,Lodgepole Pine,Comanche Peak,_14
3011,37,10,228,-3,2388,220,219,133,2683,Lodgepole Pine,Rawah,_34
2995,151,17,365,-15,1068,239,237,122,787,Lodgepole Pine,Comanche Peak,_31
2239,356,22,277,83,421,180,195,149,361,Lodgepole Pine,Neota,_12
3040,343,15,218,16,924,188,215,165,1198,Lodgepole Pine,Cache la Poudre,_24
2908,45,2,553,42,3046,219,235,152,2051,Lodgepole Pine,Comanche Peak,_25
2637,121,10,60,1,1476,237,232,125,5203,Lodgepole Pine,Comanche Peak,_31
2798,133,10,30,1,4637,236,236,130,4854,Lodgepole Pine,Comanche Peak,_32
2471,71,16,108,18,124,236,207,98,247,Lodgepole Pine,Neota,_8
2979,112,4,277,60,1682,227,235,142,2689,Lodgepole Pine,Rawah,_34
3104,95,6,180,16,4592,229,231,136,2647,Lodgepole Pine,Comanche Peak,_31
2978,47,9,268,13,4649,223,221,132,2735,Lodgepole Pine,Comanche Peak,_31
3309,318,17,604,171,3882,173,222,188,2187,Lodgepole Pine,Rawah,_35
3298,68,15,474,84,1064,234,209,102,2580,Lodgepole Pine,Rawah,_34
2897,43,18,443,249,457,221,198,106,1608,Lodgepole Pine,Comanche Peak,_31
3247,354,2,484,209,2942,215,235,157,3073,Lodgepole Pine,Rawah,_33
2842,191,15,247,42,2210,218,251,162,2069,Lodgepole Pine,Rawah,_28
2921,28,17,458,71,955,211,201,121,1395,Lodgepole Pine,Rawah,_35
2979,338,3,420,112,2707,214,235,160,2326,Lodgepole Pine,Comanche Peak,_31
3190,191,1,30,0,5828,219,239,157,1499,Lodgepole Pine,Comanche Peak,_21
2883,359,19,649,153,242,188,201,148,1237,Lodgepole Pine,Rawah,_12
3169,10,7,324,34,3032,213,227,151,1061,Lodgepole Pine,Comanche Peak,_31
2842,69,3,258,44,2079,223,233,145,1950,Lodgepole Pine,Comanche Peak,_14
3200,57,13,738,-23,1036,228,211,114,1891,Lodgepole Pine,Comanche Peak,_31
2653,132,30,42,20,1398,251,208,61,939,Lodgepole Pine,Rawah,_15
2926,130,11,256,20,4660,239,234,123,1899,Lodgepole Pine,Comanche Peak,_24
3195,186,6,450,63,1106,221,245,158,1958,Lodgepole Pine,Rawah,_34
2948,202,12,752,106,2717,214,251,169,1645,Lodgepole Pine,Rawah,_28
2995,17,16,497,28,624,205,205,133,513,Lodgepole Pine,Rawah,_33
2624,59,16,85,16,285,230,204,101,366,Lodgepole Pine,Rawah,_13
2919,240,9,150,16,5735,203,248,183,5157,Lodgepole Pine,Comanche Peak,_31
3028,358,7,247,55,2466,209,227,156,1091,Lodgepole Pine,Comanche Peak,_31
2580,193,3,127,14,582,219,242,159,1084,Lodgepole Pine,Rawah,_13
2867,350,10,134,18,3097,202,224,159,2958,Lodgepole Pine,Comanche Peak,_31
2649,66,23,85,5,1657,235,186,70,2041,Lodgepole Pine,Rawah,_26
2724,198,2,120,7,2401,218,240,158,4395,Lodgepole Pine,Comanche Peak,_14
2970,121,16,503,27,2754,246,225,103,2457,Lodgepole Pine,Rawah,_28
2995,188,18,1024,136,3015,219,250,159,1421,Lodgepole Pine,Rawah,_35
2621,12,18,240,47,1291,199,201,135,2718,Lodgepole Pine,Rawah,_13
2558,304,16,277,91,616,175,230,195,741,Lodgepole Pine,Neota,_12
2821,101,4,30,0,3591,226,234,144,6449,Lodgepole Pine,Comanche Peak,_22
2737,350,21,30,17,1788,179,201,157,3336,Lodgepole Pine,Comanche Peak,_22
3255,183,13,426,53,2755,223,248,156,1099,Lodgepole Pine,Rawah,_35
2865,7,10,573,70,2024,208,220,149,1182,Lodgepole Pine,Rawah,_13
2923,54,16,365,113,365,228,204,105,642,Lodgepole Pine,Comanche Peak,_31
2936,98,3,42,0,1753,225,234,145,242,Lodgepole Pine,Rawah,_34
2891,120,12,228,38,2242,240,230,118,702,Lodgepole Pine,Rawah,_34
3398,149,15,360,69,1018,239,238,124,4147,Lodgepole Pine,Cache la Poudre,_40
2988,135,12,67,6,4285,238,235,125,3881,Lodgepole Pine,Comanche Peak,_31
2988,188,24,499,178,1871,213,249,156,854,Lodgepole Pine,Rawah,_15
2887,319,16,134,8,1793,178,224,186,1385,Lodgepole Pine,Rawah,_34
2755,14,6,60,7,2848,215,228,150,5463,Lodgepole Pine,Comanche Peak,_14
2790,180,24,90,9,4178,221,246,145,5282,Lodgepole Pine,Comanche Peak,_32
3167,169,11,67,12,3651,228,245,147,1736,Lodgepole Pine,Rawah,_34
2783,42,11,60,2,1292,222,216,128,1120,Lodgepole Pine,Rawah,_13
3085,29,5,331,31,2687,218,229,147,1874,Lodgepole Pine,Rawah,_34
3102,177,9,324,43,1890,225,246,153,684,Lodgepole Pine,Rawah,_34
2623,183,27,60,8,1289,216,246,145,2381,Lodgepole Pine,Comanche Peak,_32
3129,321,36,300,133,518,107,180,200,2112,Lodgepole Pine,Comanche Peak,_32
2973,346,6,577,121,1348,209,231,160,2352,Lodgepole Pine,Rawah,_34
2891,90,6,95,10,2155,229,231,136,2763,Lodgepole Pine,Rawah,_28
3027,351,19,300,168,834,184,205,157,3250,Lodgepole Pine,Rawah,_26
2781,326,14,153,38,1650,186,224,178,2601,Lodgepole Pine,Comanche Peak,_31
2735,253,12,124,20,1804,193,248,193,872,Lodgepole Pine,Rawah,_35
2961,140,8,474,44,5160,232,238,138,2809,Lodgepole Pine,Comanche Peak,_32
2585,322,15,175,43,655,180,223,183,1883,Lodgepole Pine,Comanche Peak,_32
2898,196,16,297,12,1677,214,252,167,1533,Lodgepole Pine,Rawah,_35
2758,307,2,458,68,1448,213,237,163,1863,Lodgepole Pine,Rawah,_13
2719,9,28,90,49,2958,177,173,123,6365,Lodgepole Pine,Comanche Peak,_31
3255,0,0,720,179,1053,218,238,156,2096,Lodgepole Pine,Rawah,_25
2896,315,9,218,46,2659,195,233,177,2672,Lodgepole Pine,Comanche Peak,_31
2935,75,17,384,130,408,239,205,91,624,Lodgepole Pine,Comanche Peak,_31
2956,205,21,417,185,2955,203,254,177,1400,Lodgepole Pine,Rawah,_6
2851,189,5,30,0,3215,220,243,159,3208,Lodgepole Pine,Comanche Peak,_25
3121,193,33,418,184,3675,196,244,158,1061,Lodgepole Pine,Rawah,_35
2966,242,23,297,127,937,168,251,214,569,Lodgepole Pine,Rawah,_15
2942,63,15,150,23,4527,232,209,106,5284,Lodgepole Pine,Comanche Peak,_31
2710,20,5,0,0,1392,217,229,150,2408,Lodgepole Pine,Rawah,_19
3021,15,14,1019,223,2960,207,211,139,886,Lodgepole Pine,Rawah,_34
2796,216,8,30,-2,3470,212,248,172,1790,Lodgepole Pine,Rawah,_34
2939,137,28,120,37,1477,249,216,75,2618,Lodgepole Pine,Rawah,_35
3006,31,1,301,53,4064,218,235,154,1351,Lodgepole Pine,Comanche Peak,_31
3149,59,3,789,-45,503,221,233,148,1452,Lodgepole Pine,Cache la Poudre,_24
2733,101,2,175,10,2271,223,236,148,6730,Lodgepole Pine,Comanche Peak,_14
3285,106,10,379,119,1613,238,228,120,1578,Lodgepole Pine,Comanche Peak,_31
2936,120,34,283,134,2313,254,190,33,1813,Lodgepole Pine,Rawah,_15
2721,90,9,457,-29,1415,233,227,125,1381,Lodgepole Pine,Comanche Peak,_31
2927,214,20,342,111,1239,198,254,186,95,Lodgepole Pine,Rawah,_15
2968,338,11,256,49,4843,196,225,167,5890,Lodgepole Pine,Comanche Peak,_14
2534,336,12,0,0,1053,193,223,170,558,Lodgepole Pine,Rawah,_22
3159,6,9,655,113,5285,210,223,151,992,Lodgepole Pine,Comanche Peak,_31
3061,54,2,124,3,2947,220,234,150,983,Lodgepole Pine,Comanche Peak,_31
3099,117,24,150,36,847,253,209,69,430,Lodgepole Pine,Rawah,_35
3172,187,15,484,-7,2005,220,250,158,1962,Lodgepole Pine,Rawah,_35
3070,64,12,693,11,454,231,215,114,1050,Lodgepole Pine,Rawah,_34
3047,117,12,277,13,3900,240,229,118,2461,Lodgepole Pine,Comanche Peak,_31
2694,47,12,150,-6,1396,224,213,121,930,Lodgepole Pine,Comanche Peak,_25
3077,27,8,216,6,2672,217,222,141,2896,Lodgepole Pine,Rawah,_34
2590,288,25,30,20,875,142,228,222,6349,Lodgepole Pine,Comanche Peak,_18
2865,325,23,361,111,2512,157,208,188,983,Lodgepole Pine,Rawah,_26
2896,137,16,685,121,2293,243,232,112,1677,Lodgepole Pine,Rawah,_15
3142,27,14,108,11,424,213,209,129,2333,Lodgepole Pine,Cache la Poudre,_25
2939,154,13,882,148,2501,235,241,134,1471,Lodgepole Pine,Rawah,_15
2991,297,10,300,69,1516,193,237,184,1473,Lodgepole Pine,Rawah,_33
2739,3,9,67,6,2526,209,224,153,4416,Lodgepole Pine,Comanche Peak,_14
2823,215,16,30,-2,1110,202,254,183,1779,Lodgepole Pine,Rawah,_6
2941,22,8,95,3,3942,215,222,144,1869,Lodgepole Pine,Comanche Peak,_22
2920,309,15,134,34,3295,179,230,191,1653,Lodgepole Pine,Comanche Peak,_31
2933,161,9,277,70,3989,230,242,144,1544,Lodgepole Pine,Comanche Peak,_14
2972,87,16,256,7,3357,242,211,94,6174,Lodgepole Pine,Comanche Peak,_31
2972,171,10,408,79,5325,227,245,150,4406,Lodgepole Pine,Comanche Peak,_31
2963,153,16,175,42,1542,237,239,127,959,Lodgepole Pine,Comanche Peak,_31
2805,163,13,324,69,1207,232,243,140,541,Lodgepole Pine,Rawah,_36
2778,141,16,150,21,2096,241,234,118,3010,Lodgepole Pine,Comanche Peak,_14
3311,164,22,595,97,1123,234,240,125,2461,Lodgepole Pine,Rawah,_34
3001,66,6,594,97,3534,226,228,137,1132,Lodgepole Pine,Comanche Peak,_14
3085,39,6,228,15,2663,220,227,142,1784,Lodgepole Pine,Rawah,_34
2753,24,16,551,96,600,209,203,127,1053,Lodgepole Pine,Rawah,_13
2909,45,1,216,-9,4039,219,236,154,6408,Lodgepole Pine,Comanche Peak,_22
2898,59,25,180,99,182,230,178,66,1159,Lodgepole Pine,Comanche Peak,_31
2623,135,6,30,-1,865,229,237,142,5937,Lodgepole Pine,Comanche Peak,_20
3030,102,13,67,7,2110,241,223,110,1666,Lodgepole Pine,Rawah,_34
3283,335,19,618,183,3360,173,211,175,3505,Lodgepole Pine,Rawah,_1
2604,141,22,60,5,1485,246,228,99,912,Lodgepole Pine,Comanche Peak,_32
3064,53,14,95,0,4230,227,208,111,2644,Lodgepole Pine,Comanche Peak,_31
3213,213,19,800,0,424,199,254,185,2536,Lodgepole Pine,Rawah,_25
3089,300,19,150,32,3610,162,228,205,696,Lodgepole Pine,Comanche Peak,_31
2954,3,20,285,111,1739,190,199,142,2738,Lodgepole Pine,Rawah,_35
2982,269,17,492,82,5597,174,244,208,4328,Lodgepole Pine,Comanche Peak,_31
3285,108,26,760,111,1740,253,199,56,2483,Lodgepole Pine,Cache la Poudre,_35
3148,161,30,360,80,3549,234,230,103,967,Lodgepole Pine,Rawah,_35
3185,288,8,466,10,726,197,239,182,1087,Lodgepole Pine,Rawah,_25
3006,99,6,450,118,2460,230,232,136,1866,Lodgepole Pine,Rawah,_34
2939,15,13,42,3,3479,208,213,141,6320,Lodgepole Pine,Comanche Peak,_18
2965,111,8,108,5,3522,234,231,129,2416,Lodgepole Pine,Comanche Peak,_31
2853,315,7,365,95,2882,201,234,173,2954,Lodgepole Pine,Comanche Peak,_14
2527,102,8,60,3,630,234,230,128,201,Lodgepole Pine,Comanche Peak,_31
2864,111,15,67,22,4119,245,222,102,3360,Lodgepole Pine,Comanche Peak,_31
2611,322,14,134,-13,875,183,225,182,6112,Lodgepole Pine,Comanche Peak,_20
2916,234,11,153,20,5298,201,250,185,4679,Lodgepole Pine,Comanche Peak,_32
2979,164,18,240,58,1531,233,243,133,1008,Lodgepole Pine,Comanche Peak,_31
3036,318,22,150,29,1150,159,215,194,1445,Lodgepole Pine,Rawah,_34
2752,232,16,90,16,854,192,253,195,510,Lodgepole Pine,Rawah,_5
3002,25,21,192,-23,1723,204,189,114,1492,Lodgepole Pine,Rawah,_35
2993,41,5,228,30,1513,220,229,145,1830,Lodgepole Pine,Comanche Peak,_24
3028,162,2,306,49,5086,221,239,154,955,Lodgepole Pine,Comanche Peak,_31
2906,0,3,201,6,5289,215,234,156,4103,Lodgepole Pine,Comanche Peak,_10
2706,150,24,120,18,1989,242,231,103,2804,Lodgepole Pine,Comanche Peak,_32
3077,9,10,60,8,616,209,221,149,1535,Lodgepole Pine,Comanche Peak,_24
2929,321,22,124,39,6007,157,212,192,4917,Lodgepole Pine,Comanche Peak,_32
2671,222,28,60,7,2554,173,252,203,1806,Lodgepole Pine,Rawah,_6
3137,185,21,470,77,2590,219,249,153,3140,Lodgepole Pine,Rawah,_35
2725,161,9,67,9,1415,230,242,144,2095,Lodgepole Pine,Comanche Peak,_14
2982,7,12,42,4,3957,205,215,147,5407,Lodgepole Pine,Comanche Peak,_31
2998,135,5,408,44,1605,227,238,144,2313,Lodgepole Pine,Rawah,_25
3125,125,11,180,17,5435,239,232,121,892,Lodgepole Pine,Comanche Peak,_31
2770,93,31,95,36,2226,250,177,32,361,Lodgepole Pine,Rawah,_15
2918,338,17,120,13,3463,182,214,171,1621,Lodgepole Pine,Comanche Peak,_31
2815,156,21,309,107,1650,238,237,118,2255,Lodgepole Pine,Rawah,_6
3133,346,14,300,73,1355,191,217,163,2337,Lodgepole Pine,Rawah,_34
2499,96,7,335,2,1019,232,229,129,4112,Lodgepole Pine,Comanche Peak,_20
3142,160,13,90,4,2003,233,242,138,2609,Lodgepole Pine,Comanche Peak,_31
2994,75,15,134,-10,3926,237,212,103,1315,Lodgepole Pine,Comanche Peak,_31
3208,57,14,150,-13,960,229,209,110,2824,Lodgepole Pine,Cache la Poudre,_25
2591,21,18,153,50,285,206,200,127,1710,Lodgepole Pine,Comanche Peak,_31
2923,270,6,379,142,1140,205,242,176,1793,Lodgepole Pine,Rawah,_13
2718,346,8,216,51,1142,205,228,161,1922,Lodgepole Pine,Comanche Peak,_14
2579,12,13,42,5,1539,206,212,142,2763,Lodgepole Pine,Rawah,_19
2531,17,11,0,0,720,211,218,142,285,Lodgepole Pine,Comanche Peak,_32
2884,117,15,120,29,3537,245,225,105,2858,Lodgepole Pine,Comanche Peak,_31
2978,261,10,342,88,5249,195,246,189,1036,Lodgepole Pine,Comanche Peak,_32
2967,327,15,272,64,4144,182,222,179,2432,Lodgepole Pine,Comanche Peak,_32
2850,231,24,120,24,1106,174,253,208,1783,Lodgepole Pine,Rawah,_6
2714,66,10,495,90,1269,230,219,121,674,Lodgepole Pine,Comanche Peak,_25
2945,152,11,228,28,5235,234,240,136,2509,Lodgepole Pine,Comanche Peak,_32
2912,333,18,660,283,684,177,215,175,552,Lodgepole Pine,Rawah,_34
2924,198,22,90,16,2097,208,252,169,2018,Lodgepole Pine,Rawah,_35
2796,11,11,162,31,825,208,217,145,2356,Lodgepole Pine,Rawah,_13
2858,157,22,150,55,4621,238,237,118,216,Lodgepole Pine,Comanche Peak,_32
2884,293,5,192,17,3164,205,239,173,3874,Lodgepole Pine,Comanche Peak,_32
2505,65,12,234,29,424,231,216,116,3388,Lodgepole Pine,Comanche Peak,_20
2932,298,10,42,7,1740,191,236,186,1626,Lodgepole Pine,Rawah,_25
